"borough","business","stars","plus_code","address","latitude","longitude"
"Day Lewis Pharmacy Sanderst","Day Lewis Pharmacy Sanderstead",2.9,"8WW8+WH","45 Elmfield Way, Surrey CR2 0E",NA,NA
"Thornton Heath Pharm","Thornton Heath Pharmacy",3.5,"9WX4+79","27 High St, Thornton Heath CR7 8R",NA,NA
"West Gate Pharm","West Gate Pharmacy",5,"9WQ5+HR","8 Selhurst Rd, London SE25 5Q",NA,NA
"Westbury Chemist -Travel Clinic & Prescriptions - Streatham, Croy","Westbury Chemist -Travel Clinic & Prescriptions - Streatham, Croydon",3.6,"CVPC+3J","90 Streatham High Rd, London SW16 1B",NA,NA
"Bids Chemist - Travel Cli","Bids Chemist - Travel Clinic",3.8,"CV6G+8R","1495 London Rd, Norbury, London SW16 4A",NA,NA
"Rays Chemist and Travel Cli","Rays Chemist and Travel Clinic",3.6,"CR5P+8R","167 London Rd, Mitcham CR4 2J",NA,NA
"Boots Pharm","Boots Pharmacy",4.1,"CR4P+GM","7 Majestic Way, Mitcham CR4 2J",NA,NA
"Paydens Becken","Paydens Beckenham",3,"CX48+8M","401 Croydon Rd, Beckenham BR3 3P",NA,NA
"Paydens Becken","Paydens Beckenham",3,"CX48+8M","401 Croydon Rd, Beckenham BR3 3P",NA,NA
"",NA,3.5,"9XX5+H2","119 Croydon Rd, Elmers End, Beckenham BR3 3R",NA,NA
"Blackwells Chemist & Travel Cli","Blackwells Chemist & Travel Clinic",4.4,"CX37+25","Blackwells Chemist & Travel Vaccinations, 245 Croydon Rd, Beckenham BR3 3P",NA,NA
"Boots Pharm","Boots Pharmacy",1,"9VHF+Q5","Valley Retail Park, 10 Daniell Way, Croydon CR0 4Y",NA,NA
"Fairlight Pharmacy & Travel Cli","Fairlight Pharmacy & Travel Clinic",4.4,"CV65+8Q","186 Rowan Rd, London SW16 5H",NA,NA
"Akasi Pharmacy and Travel Cli","Akasi Pharmacy and Travel Clinic",4.3,"9VX8+XW","14 S Lodge Ave, Mitcham CR4 1L",NA,NA
"Brigstock Pharm","Brigstock Pharmacy",2.9,"9VVR+V3","141 Brigstock Rd, Thornton Heath CR7 7J",NA,NA
"Wilkes Pharm","Wilkes Pharmacy",3.4,"CV3X+7H","105A Parchmore Rd, Thornton Heath CR7 8L",NA,NA
"Kamsons Pharm","Kamsons Pharmacy",3.8,"CW7P+8Q","17 Oakfield Rd, London SE20 8Q",NA,NA
"Day Lewis Pharmacy South Norw","Day Lewis Pharmacy South Norwood",2.7,"9WXF+98","3, The High Street The, High St, London SE25 6E",NA,NA
"Manor Chemist & Cli","Manor Chemist & Clinic",4.9,"CV24+56","Manor Chemist & Clinic, 341 Tamworth Ln, Mitcham CR4 1D",NA,NA
"Elmers Pharmacy + Travel Cli","Elmers Pharmacy + Travel Clinic",3.5,"9XR6+MX","172 Upper Elmers End Rd, Beckenham BR3 3D",NA,NA
"Fairgreen Pharm","Fairgreen Pharmacy",4.5,"CR4P+46","London Rd, Mitcham CR4 3N",NA,NA
"Norwood Hill Pharm","Norwood Hill Pharmacy",3,"CW57+W4","283 S Norwood Hill, London SE25 6D",NA,NA
"Anna Pharmacy Hackbridge (Formerly RK Pharma","Anna Pharmacy Hackbridge (Formerly RK Pharmacy)",4,"9RHV+9W","186 London Rd, Hackbridge, Wallington SM6 7F",NA,NA
"Tesco Pharm","Tesco Pharmacy",2.3,"8VPM+Q5","8 Purley Rd, Purley CR8 2H",NA,NA
"Hobbs Pharm","Hobbs Pharmacy",3.3,"8VRP+65","Ground Floor, War Memorial Hospital, 856 Brighton Rd, Purley CR8 2Y",NA,NA
"Orion Pharm","Orion Pharmacy",4.7,"8VQM+HH","939 Brighton Rd, Purley CR8 2B",NA,NA
"NORBURY PHARM","NORBURY PHARMACY",3.7,"CV2J+RJ","1102 London Rd, Norbury, London SW16 4D",NA,NA
"Day Lewis Pharmacy Wallington, Rounds","Day Lewis Pharmacy Wallington, Roundshaw",3.3,"9V38+98","Unit 4 Mollison Square, Wallington SM6 9D",NA,NA
"Day Lewis Pharmacy Wallington, Rounds","Day Lewis Pharmacy Wallington, Roundshaw",3.3,"9V38+98","Unit 4 Mollison Square, Wallington SM6 9D",NA,NA
"Day Lewis Pharmacy Wallington, Rounds","Day Lewis Pharmacy Wallington, Roundshaw",3.3,"9V38+98","Unit 4 Mollison Square, Wallington SM6 9D",NA,NA
"RXLive Pharm","RXLive Pharmacy",3.8,"9V56+HF","4 Chalice Cl, Wallington SM6 9R",NA,NA
"Macks Chem","Macks Chemist",2.4,"9XX5+HM","2 Eden Park Ave, Elmers End, Beckenham BR3 3H",NA,NA
"First Pharm","First Pharmacy",4.3,"9V52+84","108 Woodcote Rd, Wallington SM6 0L",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",2.5,"CV6G+7Q","3, London Rd, Norbury, London SW16 4A",NA,NA
"Selhurst Pharm","Selhurst Pharmacy",5,"9WQ5+GQ","Londis Supermarket, 8 Selhurst Rd, London SE2",NA,NA
"Lakewood Pharmacy / Yellow Fever and Travel Vaccination centre / Earwax remo","Lakewood Pharmacy / Yellow Fever and Travel Vaccination centre / Earwax removal",5,"9XGJ+Q5","108 High St, West Wickham BR4 0N",NA,NA
"Eagle Chem","Eagle Chemist",4.6,"CV37+MC","301 Northborough Rd, London SW16 4T",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",2.5,"9WX2+FH","Cobblers & Keys Ltd, 1-2 Cotford Rd, Brigstock Rd, Thornton Heath CR7 7J",NA,NA
"LloydsPharm","LloydsPharmacy",2.3,"9XGJ+Q5","108 High St, West Wickham BR4 0N",NA,NA
"Macks Pharm","Macks Pharmacy",3.1,"CW7X+R6","161 High St, London SE20 7Q",NA,NA
"Foxley Lane Pharm","Foxley Lane Pharmacy",4.9,"8VRG+F8","Foxley Ln, Purley CR8 3E",NA,NA
"Anna Pharmacy & Travel Cli","Anna Pharmacy & Travel Clinic",4.8,"9RMG+QG","398 Green Wrythe Ln, Carshalton SM5 1J",NA,NA
"Sefgrove Chemist- Travel Clinic and Yellow Fever Cen","Sefgrove Chemist- Travel Clinic and Yellow Fever Centre",4,"CW98+WV","5 Westow Hill, Norwood, London SE19 1T",NA,NA
"RXLive Pharm","RXLive Pharmacy",2.9,"9V56+HF","4 Chalice Cl, Wallington SM6 9R",NA,NA
"Copes Pharmacy + Travel Cli","Copes Pharmacy + Travel Clinic",4.1,"CV8F+MF","572 Streatham High Rd, London SW16 3Q",NA,NA
"Medipharm","Medipharmacy",4.3,"9R8Q+6J","High St, Carshalton SM5 3A",NA,NA
"Medipharm Pharm","Medipharm Pharmacy",2.8,"8WMF+FC","37 Limpsfield Rd, South Croydon CR2 9L",NA,NA
"Kamsons Pharm","Kamsons Pharmacy",4.1,"9RCH+MC","Wrythe Ln, Carshalton SM5 2R",NA,NA
"Tesco Expr","Tesco Express",3.3,"9VPQ+8R","Tesco Express, 369-373 London Rd, Croydon CR0 3P",NA,NA
"Coney Hall Pharmacy -Weight Loss Clinic & Ear Wax Removal Cli","Coney Hall Pharmacy -Weight Loss Clinic & Ear Wax Removal Clinic",4.8,"9292+PH","5, Coney Hall Parade, 5 Kingsway, West Wickham BR4 9J",NA,NA
"Pyramid Pharm","Pyramid Pharmacy",4.7,"CW7W+RX","4&5, COLMAN HOUSE, High St, London SE20 7E",NA,NA
"Pyramid Pharm","Pyramid Pharmacy",4.7,"CW7W+RX","4&5, COLMAN HOUSE, High St, London SE20 7E",NA,NA
"MediRush Pharm","MediRush Pharmacy",4.6,"GW6R+MG","Shop No. 116, Railway Arches, Chapman St, London E1 2P",NA,NA
"Westchem Pharmacy - NHS Vaccination Centre, Travel Clinic and Yellow Fever Cen","Westchem Pharmacy - NHS Vaccination Centre, Travel Clinic and Yellow Fever Centre",4.8,"9XGP+M7","89 Station Rd, West Wickham BR4 0P",NA,NA
"Kamsons Pharm","Kamsons Pharmacy",3.7,"9R4X+RJ","Jubilee Health Centre, Shotfield, Wallington SM6 0H",NA,NA
"e-medicina Pharm","e-medicina Pharmacy",5,"020","e-medicina.co.u",22.1357068,113.455282764624
"Cospharm Pharmacy & Travel Cli","Cospharm Pharmacy & Travel Clinic",3.5,"CRCQ+CQ","283 Mitcham Rd, London SW17 9J",NA,NA
"Nucare Hamlet Pharm","Nucare Hamlet Pharmacy",4.8,"CW8G+GX","45 Anerley Rd, London SE19 2A",NA,NA
"Saturn Pharm","Saturn Pharmacy",4.3,"CVF5+XV","75 Mitcham Ln, London SW16 6L",NA,NA
"Jhoots Pharm","Jhoots Pharmacy",2,"9RXC+FM","Ravensbury Ln, Mitcham CR4 4D",NA,NA
"Goddard Veterinary Group, Croy","Goddard Veterinary Group, Croydon",4.5,"9WMM+7Q","356 Lower Addiscombe Rd, Croydon CR0 7A",NA,NA
"Beckenham Pharmacy, 171-173 High Str","Beckenham Pharmacy, 171-173 High Street",3.4,"CX4C+G4","173 High St, Beckenham BR3 1A",NA,NA
"Day Lewis Pharmacy Toot","Day Lewis Pharmacy Tooting",4,"CRJV+3H","145 Franciscan Rd, London SW17 8D",NA,NA
"Kamson's Pharm","Kamson's Pharmacy",5,"9RFJ+6M","40 Green Wrythe Ln, Carshalton SM5 2D",NA,NA
"Touchwood Pharm","Touchwood Pharmacy",4.3,"CVJC+63","240 Streatham High Rd, London SW16 1B",NA,NA
"Portland Medical Cen","Portland Medical Centre",4.2,"9WVM+75","Portland Medical Centre, 184 Portland Rd, London SE25 4Q",NA,NA
"Boots Pharm","Boots Pharmacy",1,"8VQM+GQ","15 High St, Purley CR8 2A",NA,NA
"Boots Pharm","Boots Pharmacy",3.7,"CWGX+G7","55 Sydenham Rd, London SE26 5E",NA,NA
"Medipharm","Medipharmacy",2.5,"8VGX+6W","78 Godstone Rd, Kenley CR8 5A",NA,NA
"Harbs Pharm","Harbs Pharmacy",4.1,"FMWV+XR","193 S Ealing Rd, South Ealing, London W5 4R",NA,NA
"Lewis Pharmacy & Travel Cli","Lewis Pharmacy & Travel Clinic",3.9,"GM8X+76","36 Haven Grn, London W5 2N",NA,NA
"Mattock Lane Pharmacy & Travel Vaccination Cli","Mattock Lane Pharmacy & Travel Vaccination Clinic",4.6,"Amigable","8, St Johns Parade, Mattock Ln, London W13 9L",NA,NA
"Northfield Pharm","Northfield Pharmacy",4.9,"GM3J+V8","30 Northfield Ave, London W13 9R",NA,NA
"Ealing Pharmacy & Travel Cli","Ealing Pharmacy & Travel Clinic",3.2,"GMGP+CM","157 Pitshanger Ln, London W5 1R",NA,NA
"South Ealing Pharmacy & Travel clinic Plus Servi","South Ealing Pharmacy & Travel clinic Plus Services",4.6,"FMWV+WM","186 S Ealing Rd, London W5 4R",NA,NA
"Bo","Boots",3.9,"GM6W+RQ","36 Ealing Broadway Ctr, The Broadway, London W5 5J",NA,NA
"Drogeria UK Irys Cosmetics Polskie Kosmetyki I Suplementy & Witaminy & L","Drogeria UK Irys Cosmetics Polskie Kosmetyki I Suplementy & Witaminy & Leki",4.1,"GM6J+F8","158 Uxbridge Rd, London W13 8S",NA,NA
"Grosvenor Medipharm","Grosvenor Medipharmacy",3.8,"GM5F+VJ","99 Broadway, London W13 9B",NA,NA
"Ealing Travel Clinic (Northfield Pharma","Ealing Travel Clinic (Northfield Pharmacy)",5,"GM3J+V8","30 Northfield Ave, London W13 9R",NA,NA
"Temple Pharmacy & Chiropody Cli","Temple Pharmacy & Chiropody Clinic",4.7,"GMGP+HQ","110 Pitshanger Ln, London W5 1Q",NA,NA
"Superd","Superdrug",3.4,"GM7W+3M","Units 18/19, Broadway Shopping Centre, 101 Broad St Ave, London W5 5J",NA,NA
"Pyramid Pharmacy (midhur","Pyramid Pharmacy (midhurst)",4,"GM3F+C5","92 Elthorne Park Rd., London W7 2J",NA,NA
"Terry's Pharmacy & Travel Vaccination Cli","Terry's Pharmacy & Travel Vaccination Clinic",4.1,"GM7J+H3","4, Castle Hill Parade, The Avenue, London W13 8J",NA,NA
"Bramley Pharm","Bramley Pharmacy",4.9,"FMXP+9G","261 Northfield Ave, London W5 4U",NA,NA
"Bo","Boots",3.6,"GM6G+5J","68 Broadway, London W13 0S",NA,NA
"Boots Pharm","Boots Pharmacy",3.7,"GM6W+VQ","36, Ealing Broadway Centre, The Broadway, London W5 5J",NA,NA
"Richards Pharm","Richards Pharmacy",3.8,"GM2V+29","112 S Ealing Rd, London W5 4Q",NA,NA
"John Meg","John Megson",3.4,"GP85+QP","15, Queen's Parade, Hanger Ln, London W5 3H",NA,NA
"Ealing Hospi","Ealing Hospital",2.6,"GM53+29","601 Uxbridge Rd, Southall UB1 3H",NA,NA
"Tesco Expr","Tesco Express",4.5,"GM47+7Q","Hanwell Square, 75-117 Boston Rd, London W7 3S",NA,NA
"Boots Pharm","Boots Pharmacy",5,"GM6G+5J","68 Broadway, London W13 0S",NA,NA
"Cross Chem","Cross Chemist",4.5,"GPH4+QR","5 Royal Parade, Hanger Ln, London W5 1E",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",2.7,"GM5F+VR","Inside Savers, 85-87 Broadway, London W13 9B",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",2.7,"GM5F+VR","Inside Savers, 85-87 Broadway, London W13 9B",NA,NA
"Waitrose & Partn","Waitrose & Partners",4.1,"GM7H+69","2 Alexandria Rd, London W13 0N",NA,NA
"Sainsbur","Sainsbury's",4.1,"GM5F+MR","Melbourne Ave, London W13 9B",NA,NA
"Savers Health and Bea","Savers Health and Beauty",4.4,"GM5F+VR","87 Broadway, London W13 9B",NA,NA
"Feminine Pharm","Feminine Pharmacy",1,NA,"",NA,NA
"MedicPlus Health Cli","MedicPlus Health Clinic",4.5,"GM7J+J3","5 Castle Hill Parade, West Ealing W13 8J",NA,NA
"Church Pharm","Church Pharmacy",3.4,"GM57+HX","83 Uxbridge Rd, London W7 3S",NA,NA
"Remedy Pharm","Remedy Pharmacy",4.3,"GM77+X4","83 Greenford Ave, London W7 1L",NA,NA
"Wembley Pharm","Wembley Pharmacy",4.3,"GPR2+FV","Middlesex House, 183 Ealing Rd, Wembley HA0 4L",NA,NA
"Ealing Urgent Treatment Cen","Ealing Urgent Treatment Centre",2.2,"GM53+5H","Ealing Hospital, Uxbridge Rd, Southall UB1 3H",NA,NA
"Ealing Urgent Treatment Cen","Ealing Urgent Treatment Centre",2.2,"GM53+5H","Ealing Hospital, Uxbridge Rd, Southall UB1 3H",NA,NA
"Jade Pharmacy Alper","Jade Pharmacy Alperton",4.4,"GPR2+MR","282 Ealing Rd, Wembley HA0 4L",NA,NA
"Jade Pharmacy (Wembley) & Travel Cli","Jade Pharmacy (Wembley) & Travel Clinic",4.4,"GPV3+V5","204 Ealing Rd, Wembley HA0 4Q",NA,NA
"Hanwell Pharm","Hanwell Pharmacy",3,"GM68+37","Hanwell Health Centre, 20 Church Rd, London W7 1D",NA,NA
"Walkers Pharm","Walkers Pharmacy",4.4,"GP29+XG","6, The Broadway, Gunnersbury Ln, London W3 8H",NA,NA
"Polska Apteka UK - Lon","Polska Apteka UK - London",4.1,"GM7H+6F","2 Alexandria Rd, London W13 0N",NA,NA
"CEN4UK - CENFORCE 100 UK - CENFORCE 200","CEN4UK - CENFORCE 100 UK - CENFORCE 200 UK",4.3,"MX3C+H7","7 Dundee Way, Enfield EN3 7S",NA,NA
"LloydsPharm","LloydsPharmacy",1.6,"MW7C+4R","304 Baker St, Enfield EN1 3L",NA,NA
"Healthfare Chem","Healthfare Chemist",3.7,"MW2C+VJ","9 Colman Parade, Enfield EN1 1Y",NA,NA
"Pharmacy Xpress Health Clinic, Perfumery & Travel Cli","Pharmacy Xpress Health Clinic, Perfumery & Travel Clinic",4.8,"MX52+6X","228 Hertford Rd, Enfield EN3 5B",NA,NA
"Ronchetti Pharmacy & Travel Cli","Ronchetti Pharmacy & Travel Clinic",3.6,"MXC6+J2","619 Hertford Rd, Enfield EN3 6U",NA,NA
"Elgon Chem","Elgon Chemist",3.6,"JXX3+5F","291 High St, Enfield EN3 4D",NA,NA
"Bo","Boots",4.1,"MW28+CF","32, Shopping Precinct, Palace Gdns, Enfield EN2 6S",NA,NA
"Well Pharm","Well Pharmacy",3.2,"MW39+JM","66 Silver St, Enfield EN1 3E",NA,NA
"Electra Pharm","Electra Pharmacy",4.5,"JXR7+XG","170B South St, Enfield EN3 4G",NA,NA
"Tesco Pharm","Tesco Pharmacy",2.5,"JXX2+5W","288 High St, Ponders End, Enfield EN3 4D",NA,NA
"Whitaker's Pharm","Whitaker's Pharmacy",3.9,"MW56+CR","109 Chase Side, Enfield EN2 6N",NA,NA
"Haywards Pharm","Haywards Pharmacy",4.5,"JWRH+MV","10 Queen Anne's Pl, Enfield EN1 2P",NA,NA
"Well Pharm","Well Pharmacy",2.1,"MX84+2H","417 Hertford Rd, Enfield EN3 5P",NA,NA
"PARKVIEW PHARMACY & TRAVEL CLINIC NORTH LONDON ENFIELD OAKWOOD SOUTHGATE BARNET TRAVEL N14 ","PARKVIEW PHARMACY & TRAVEL CLINIC NORTH LONDON ENFIELD OAKWOOD SOUTHGATE BARNET TRAVEL N14 4XA",4.8,"JVXC+JC","195 Bramley Rd, London N14 4X",NA,NA
"Well Pharm","Well Pharmacy",3.4,"MX63+4F","257 Hertford Rd, Enfield EN3 5J",NA,NA
"Zara Pharmacy ","Zara Pharmacy NHS",3.9,"JXW3+M7","247 High St, Ponders End, Enfield EN3 4D",NA,NA
"Bo","Boots",3.7,"MW3R+CW","Enfield Retail Park, 2A Crown Rd, Enfield EN1 1T",NA,NA
"Capricorn Pharm","Capricorn Pharmacy",4.7,"MV3R+VF","16 Enfield Rd, Enfield EN2 7H",NA,NA
"Capricorn Pharm","Capricorn Pharmacy",4.7,"MV3R+VF","16 Enfield Rd, Enfield EN2 7H",NA,NA
"Shah ","Shah M K",2.4,"MXF6+VW","736 Hertford Rd, Enfield EN3 6P",NA,NA
"Ronchetti Pharm","Ronchetti Pharmacy",4.8,"MX9M+H8","68 Island Centre Way, Enfield EN3 6G",NA,NA
"Lamis Chem","Lamis Chemist",4.1,"JWP9+RJ","Village Rd, Enfield EN1 2H",NA,NA
"Baker Street Pharm","Baker Street Pharmacy",5,"MW7C+4R","304 Baker St, Enfield EN1 3L",NA,NA
"Green Lanes Pharm","Green Lanes Pharmacy",4.6,"JWM4+68","808 Green Lanes, London N21 2S",NA,NA
"Green Lanes Pharm","Green Lanes Pharmacy",4.6,"JWM4+68","808 Green Lanes, London N21 2S",NA,NA
"Pyramid Pharmacy & Travel Cli","Pyramid Pharmacy & Travel Clinic",4.6,"JVW8+P3","73 Bramley Rd, London N14 4E",NA,NA
"Boots Pharm","Boots Pharmacy",2.7,"MW3R+CX","Enfield Retail Park, 2A Crown Rd, Enfield EN1 1T",NA,NA
"Boots Pharm","Boots Pharmacy",2.7,"MW3R+CX","Enfield Retail Park, 2A Crown Rd, Enfield EN1 1T",NA,NA
"Boots Pharm","Boots Pharmacy",2.7,"MW3R+CX","Enfield Retail Park, 2A Crown Rd, Enfield EN1 1T",NA,NA
"Tesco Ex","Tesco Extra",3.6,"JXX2+5W","288 High St, Ponders End, Enfield EN3 4D",NA,NA
"VMS Pharm","VMS Pharmacy",4.5,"JWMW+FF","291 Hertford Rd, London N9 7E",NA,NA
"Reid's Pharm","Reid's Pharmacy",4.6,"JWMH+HG","1 Cambridge Terrace, Bury St W, London N9 9J",NA,NA
"Reid's Pharm","Reid's Pharmacy",4.6,"JWMH+HG","1 Cambridge Terrace, Bury St W, London N9 9J",NA,NA
"Reid's Pharm","Reid's Pharmacy",4.6,"JWMH+HG","1 Cambridge Terrace, Bury St W, London N9 9J",NA,NA
"Forest Pharm","Forest Pharmacy",4,"JWMW+FP","308A Hertford Rd, London N9 7H",NA,NA
"Atkinson Chemist Grange","Atkinson Chemist Grangeway",4.2,"JWR3+VH","20 The Grangeway, London N21 2H",NA,NA
"Virens Chemist & Travel Cli","Virens Chemist & Travel Clinic",4.3,"JXQ2+GQ","560 Hertford Rd, London N9 8A",NA,NA
"Boots Pharm","Boots Pharmacy",2.5,"MW28+CG","32, Shopping Precinct, Palace Gdns, Enfield EN2 6S",NA,NA
"Boots Pharm","Boots Pharmacy",2.5,"MW28+CG","32, Shopping Precinct, Palace Gdns, Enfield EN2 6S",NA,NA
"Aqua Chemist + Travel Clinic + Yellow Fever Cen","Aqua Chemist + Travel Clinic + Yellow Fever Centre",3.5,"JWHW+CW","55 Bounces Rd, London N9 8J",NA,NA
"Highlands Pharm","Highlands Pharmacy",3.9,"JVWQ+GR","4 Florey Square, London N21 1U",NA,NA
"Asda Edmonton Green Superst","Asda Edmonton Green Superstore",4.1,"JWFR+26","1 W Mall, London N9 0A",NA,NA
"Superd","Superdrug",3.8,"MW29+HG","palace Exchange, Units 14 & 15, Enfield EN2 6B",NA,NA
"Wellcare Pharm","Wellcare Pharmacy",4.5,"JW87+MV","14 Kendal Parade, Silver St., London N18 1N",NA,NA
"Chase Farm Pharm","Chase Farm Pharmacy",2,"Amigable","Ground Floor, Chase Farm Hospital, 127 The Ridgeway, Enfield EN2 8J",NA,NA
"MediRush Pharm","MediRush Pharmacy",4.6,"GW6R+MG","Shop No. 116, Railway Arches, Chapman St, London E1 2P",NA,NA
"Edmonton Green Pharmacy and Travel Clinic (formerly Jade Pharma","Edmonton Green Pharmacy and Travel Clinic (formerly Jade Pharmacy)",3.3,"JWFR+R9","edmonton green shopping centre, 13, The N9 0T",NA,NA
"ASDA Pharm","ASDA Pharmacy",3.1,"JWFR+26","1 W Mall, London N9 0A",NA,NA
"Scott's Pharm","Scott's Pharmacy",3.8,"JW8G+F7","99 Silver St., London N18 1R",NA,NA
"Superdrug Pharm","Superdrug Pharmacy",2.9,"JWFV+R3","edmonton green shopping centre, 21 Market Parade, London N9 0T",NA,NA
"Skot Pharmacy - Alphega Pharm","Skot Pharmacy - Alphega Pharmacy",4.7,"JWFM+4M","139 Victoria Rd, London N9 9B",NA,NA
"Green Cross Pharm","Green Cross Pharmacy",4.6,"JW8P+97","213 Fore St, London N18 2T",NA,NA
"Walkers Pharm","Walkers Pharmacy",4.4,"JVCV+QV","410 Green Lanes, London N13 5X",NA,NA
"Wise Pharm","Wise Pharmacy",2.7,"JW6M+PW","93 Fore St, London N18 2T",NA,NA
"Aldermans Pharmacy & Travel Cli","Aldermans Pharmacy & Travel Clinic",4.9,"JV9Q+FC","38 - 40 Aldermans Hill, London N13 4P",NA,NA
"Asda Ponders End Supermar","Asda Ponders End Supermarket",3.3,"JXR3+JC","67 High St, Ponders End, Enfield EN3 4E",NA,NA
"Clayton Pharmacy- Pharmacy and Travel Clinic in Chesh","Clayton Pharmacy- Pharmacy and Travel Clinic in Cheshunt",5,"PX28+F4","6, Clayton Parade, Turners Hill, Cheshunt, Waltham Cross EN8 8N",NA,NA
"Pyramid Pharmacy & Travel Cli","Pyramid Pharmacy & Travel Clinic",4.9,"JX8J+MV","267 Chingford Mount Rd, London E4 8L",NA,NA
"Boots Pharm","Boots Pharmacy",4.4,"PW67+4C","694 Goffs Ln, Goff's Oak, Waltham Cross EN7 5E",NA,NA
"Bees Dispensing Chemist + Travel Clinic + Yellow Fever Cen","Bees Dispensing Chemist + Travel Clinic + Yellow Fever Centre",4.2,"JW7P+C6","172 Fore St, London N18 2J",NA,NA
"",NA,4.7,"JW37+X9","11 Great Cambridge Rd, London N17 7L",NA,NA
"Med-Chem Pharm","Med-Chem Pharmacy",3.9,"HWH2+3G","73, Grand Parade, 73 Green Lanes, London N4 1D",NA,NA
"Med-Chem Pharm","Med-Chem Pharmacy",3.9,"HWH2+3G","73, Grand Parade, 73 Green Lanes, London N4 1D",NA,NA
"Atkinsons Chem","Atkinsons Chemist",4.2,"JWJ3+9H","750 Green Lanes, London N21 3R",NA,NA
"Good Health Pharm","Good Health Pharmacy",4,"HWPC+3V","112 W Green Rd, South Tottenham, London N15 5A",NA,NA
"Simmons Pharm","Simmons Pharmacy",3.5,"JVX2+CQ","111 Cockfosters Rd, Cockfosters, Barnet EN4 0D",NA,NA
"Hampden Square Pharmacy + Travel Clinic + Yellow Fever Cen","Hampden Square Pharmacy + Travel Clinic + Yellow Fever Centre",4,"JVJ4+WJ","14 Hampden Square, London N14 5J",NA,NA
"Greena","Greenacre",4,"JVX2+GW","9 Station Parade, Barnet EN4 0D",NA,NA
"Greenfield Pharm","Greenfield Pharmacy",4.8,"JRW7+G9","Great N Rd, New Barnet, Barnet EN5 1E",NA,NA
"Greenfield Pharm","Greenfield Pharmacy",4.8,"JRW7+G9","Great N Rd, New Barnet, Barnet EN5 1E",NA,NA
"Well Pharm","Well Pharmacy",2.5,"J294+M9","20 Hatch Ln, London E4 6L",NA,NA
"Kingshead Chem","Kingshead Chemist",4,"JXPP+HR","7PA, 59 Sewardstone Rd, London E4 7P",NA,NA
"K Waterhouse chem","K Waterhouse chemist",3.9,"JVJC+RG","88 Crown Ln, London N14 5E",NA,NA
"Benjamin Pharm","Benjamin Pharmacy",4.1,"JX8J+JX","263 Chingford Mount Rd, London E4 8L",NA,NA
"Reliance Pharm","Reliance Pharmacy",5,"M2P2+3V","R/O, Thrift Cottage, Sewardstone Rd, Waltham Abbey EN9 1N",NA,NA
"Morrisons Pharm","Morrisons Pharmacy",3.7,"JV8Q+MQ","19 Aldermans Hill, London N13 4E",NA,NA
"ASDA Pharm","ASDA Pharmacy",2.5,"JVM9+PG","130 Chase Side, London N14 5P",NA,NA
"Palmers Pharm","Palmers Pharmacy",4.6,"JV9R+8M","325 Green Lanes, London N13 4Y",NA,NA
"Safedale Ltd Head Off","Safedale Ltd Head Office",5,"JWR2+WM","Ramsay House, 18 Vera Ave, London N21 1R",NA,NA
"Safedale Ltd Head Off","Safedale Ltd Head Office",5,"JWR2+WM","Ramsay House, 18 Vera Ave, London N21 1R",NA,NA
"Goddard Veterinary Group, Enfi","Goddard Veterinary Group, Enfield",4.5,"MX43+RC","5 Green St, Enfield EN3 7H",NA,NA
"Day Lewis Pharmacy Tottenham + Travel Cli","Day Lewis Pharmacy Tottenham + Travel Clinic",3.7,"JW4G+5J","Family Health Care Centre, Somerset Gardens, 4 Creighton Rd, London N17 8N",NA,NA
"",NA,3.6,"JRGR+F6","253 Oakleigh Rd N, London N20 0T",NA,NA
"Well Pharm","Well Pharmacy",1.8,"J252+53","10 The Avenue, London E4 9L",NA,NA
"Cheshunt Pharm","Cheshunt Pharmacy",5,"PW2X+QQ","21 Cromwell Ave, Cheshunt, Waltham Cross EN7 5D",NA,NA
"Mountford Pharm","Mountford Pharmacy",4.6,"MR2G+38","11 E Barnet Rd, New Barnet, Barnet EN4 8R",NA,NA
"S V R Chem","S V R Chemist",3.7,"JRWM+R6","141, 147 E Barnet Rd, London, Barnet EN4 8Q",NA,NA
"Tesco Pharm","Tesco Pharmacy",4.5,"JX52+XP","1 Glover Dr, London N18 3H",NA,NA
"Shore Pharmacy + Travel Clinic + Yellow Fever Cen","Shore Pharmacy + Travel Clinic + Yellow Fever Centre",3.6,"JRJV+26","79 Russell Ln, London N20 0B",NA,NA
"Pharmacy Cube + Weight Loss Cli","Pharmacy Cube + Weight Loss Clinic",5,"JX7M+G6","1A Kingsley Gardens, London E4 8J",NA,NA
"Grace Pharm","Grace Pharmacy",2.2,"JW3Q+2W","169 Park Ln, London N17 0H",NA,NA
"White Lodge Medical Pract","White Lodge Medical Practice",4.2,"MW56+9R","109 Chase Side, Enfield EN2 6N",NA,NA
"Greens Pharmacy - Alphega Pharm","Greens Pharmacy - Alphega Pharmacy",2.9,"JV6R+H7","48 Green Lanes, London N13 6J",NA,NA
"Swan Pharm","Swan Pharmacy",5,"PX28+F4","5, Clayton Parade, Turners Hill, Cheshunt, Waltham Cross EN8 8N",NA,NA
